Row,Col,Cell_Type
8,225,3
8,226,1
8,227,1
8,228,1
8,229,1
9,224,1
9,225,1
9,268,3
10,267,1
10,268,1
10,269,1
10,270,1
10,275,1
11,275,1
12,275,1
12,276,1
13,276,1
14,276,1
14,277,3
14,278,1
14,279,1
15,279,1
16,278,1
17,278,1
18,278,1
19,278,1
62,122,1
63,121,1
63,122,1
64,121,1
65,117,1
65,118,1
65,119,1
65,120,3
65,121,1
66,117,1
67,117,1
73,116,1
74,116,1
75,116,1
76,116,1
84,331,1
85,330,1
85,331,1
85,332,3
86,332,1
86,333,1
86,334,1
87,334,1
87,335,1
123,166,3
123,167,1
123,168,1
123,169,1
124,165,1
124,166,1
125,164,1
125,165,1
126,402,1
126,403,1
126,404,1
127,404,3
127,405,1
128,405,1
128,406,1
135,509,1
135,510,1
135,511,3
135,512,1
140,531,1
140,532,1
140,533,3
141,533,1
141,534,1
141,535,1
396,63,1
396,64,1
396,65,1
396,66,1
397,61,1
397,62,1
397,63,1
398,60,1
398,61,1
399,60,3
400,58,1
400,59,1
400,60,1
401,58,1
402,58,1
403,58,1
403,59,1
404,59,1
405,59,1
423,34,1
423,35,1
424,34,1
435,41,1
436,41,1
436,42,1
437,42,3
437,43,1
437,44,1
